Código_estación,tot_hog_p,densidad_p,edad_p,pob_tot_p,per_hog_p,renta_med_p,renta_med_1_p,porcen_pob_p,porcen_p_1_p,porcen_inm_p,1mujsol_p,1hactsolp,1mujmay_p,1hommay_p,1mujmad_p,1hompad_p,2adusol_p,2adusma_p,2adumen_p,2adu2mn_p,%2adu3mn_p,2adu1jv_p,2a1jv1m_p,2a1jv2m_p,3adul_pon,2ad2jv_p,2a2j1m_p,2a2j2m_p,4adulto_p,5adulto_p,15perso_p,menas_p
"1054","404",15.466,25.152,"1167",2.345,19094.432,56429.616,20.251,3.501,11.402,"44","49","9","3","16","6","56","13","38","64","19","15","13","6","19","10","5","2","7","10","0","1"
"1051","596",20.775,33.788,"1643",2.763,20409.703,58260.724,27.203,4.703,15.318,"41","51","45","13","16","6","63","63","34","42","18","43","12","5","47","41","5","0","19","29","0","0"
"1052","785",20.691,33.652,"2235",2.886,24480.958,71686.870,27.093,4.682,15.256,"62","73","24","11","39","12","80","44","85","112","44","37","28","10","41","40","8","1","11","24","0","1"
"1106","755",397.845,40.689,"2078",2.816,15174.483,42338.543,14.352,13.151,28.213,"63","75","28","11","22","5","93","51","68","74","9","53","45","5","41","50","5","0","18","31","0","0"
"1053","679",20.925,34.029,"1984",3.055,24386.449,75198.459,27.397,4.738,15.428,"55","64","14","5","33","10","80","23","80","115","38","24","24","11","31","28","9","3","10","16","0","0"
"1102","638",361.134,36.935,"1733",2.619,11892.596,32710.160,13.027,11.937,25.611,"49","50","52","17","14","1","71","71","42","33","5","43","26","6","44","27","3","1","23","43","0","0"
"1103","552",390.264,39.914,"1583",3.188,12266.225,34469.414,14.080,12.901,27.675,"41","46","39","13","13","2","64","58","37","37","6","39","21","5","36","30","2","0","18","34","1","0"
"1104","560",390.662,39.955,"1513",2.801,12370.975,34491.866,14.093,12.916,27.703,"43","54","36","12","18","3","69","50","41","39","6","36","15","5","36","27","2","0","18","31","0","0"
"1105","530",383.081,39.177,"1410",2.662,11670.732,30815.385,13.819,12.663,27.167,"41","48","46","14","9","1","63","72","32","19","2","37","12","0","41","22","2","1","25","35","1","0"
