Fecha,Precio Gasolina 95 E5
2024-12-01,1.615
2024-12-02,1.615
2024-12-03,1.615
2024-12-04,1.615
2024-12-05,1.615
2024-12-06,1.615
2024-12-07,1.615
2024-12-08,1.615
2024-12-09,1.615
2024-12-10,1.615
2024-12-11,1.615
2024-12-12,1.615
2024-12-13,1.615
2024-12-14,1.615
2024-12-15,1.615
2024-12-16,1.615
2024-12-17,1.615
2024-12-18,1.615
2024-12-19,1.615
2024-12-20,1.615
2024-12-21,1.615
2024-12-22,1.615
2024-12-23,1.615
2024-12-24,1.615
2024-12-25,1.615
2024-12-26,1.615
2024-12-27,1.615
2024-12-28,1.615
2024-12-29,1.615
2024-12-30,1.615
2024-12-31,1.615
