Fecha,Temperatura Máxima (°C),Temperatura Media (°C),Temperatura Mínima (°C),Precipitaciones (mm),Velocidad Media Viento (km/h),Humedad Relativa Media (%)
2024-07-01,"30,0","24,1","18,2","0,0","2,2",40
2024-07-02,"31,6","23,8","16,0","0,0","2,2",39
2024-07-03,"33,8","25,5","17,2","0,0","0,8",28
2024-07-04,"36,9","29,0","21,2","0,0","0,8",26
2024-07-05,"37,3","29,8","22,3","0,0","2,2",31
2024-07-06,"33,5","26,9","20,3","0,0","2,2",34
2024-07-07,"31,8","24,7","17,6","0,0","2,5",40
2024-07-08,"33,0","25,5","18,0","0,0","2,8",31
2024-07-09,"32,7","26,2","19,7","0,0","2,8",31
2024-07-10,"33,9","26,9","19,9","0,0","2,2",42
2024-07-11,"36,7","28,8","21,0","0,0","3,9",37
2024-07-12,"33,2","26,4","19,6","0,0","2,2",27
2024-07-13,"34,1","26,6","19,1","0,0","2,5",32
2024-07-14,"33,3","26,2","19,2","0,0","3,3",21
2024-07-15,"31,0","25,9","20,8","0,0","4,4",45
2024-07-16,"32,4","25,3","18,2","0,0","1,4",27
2024-07-17,"36,6","28,4","20,2","0,0","1,9",29
2024-07-18,"35,7","28,7","21,7","0,0","1,9",33
2024-07-19,"38,0","29,7","21,4","0,0","1,9",24
2024-07-20,"36,9","29,0","21,0","0,0","3,1",29
2024-07-21,"32,5","26,1","19,7","0,0","1,4",32
2024-07-22,"34,9","26,7","18,5","0,0","1,7",N/A
2024-07-23,"38,3","30,2","22,1","0,0","1,9",24
2024-07-24,"39,9","32,7","25,5","0,0","1,4",24
2024-07-25,"39,7","32,6","25,6","0,0","1,4",25
2024-07-26,"37,0","31,0","25,0","0,0","1,4",31
2024-07-27,"37,8","31,2","24,7","0,0","1,9",32
2024-07-28,"38,7","32,0","25,3","0,0","2,5",24
2024-07-29,"35,0","30,2","25,5","0,0","1,7",34
2024-07-30,"38,8","32,0","25,3","0,0","2,8",27
2024-07-31,"37,3","30,2","23,2","0,0","2,5",27
2024-08-01,"38,4","30,4","22,4","0,0","1,9",21
2024-08-02,"33,0","27,4","21,9","14,7","1,4",57
2024-08-03,"35,6","28,4","21,3","0,0","1,7",35
2024-08-04,"36,9","30,2","23,6","0,0","1,7",28
2024-08-05,"38,2","31,4","24,5","0,0","2,8",24
2024-08-06,"38,0","30,4","22,8","0,0","1,9",24
2024-08-07,"37,5","30,8","24,2","0,0","1,1",26
2024-08-08,"37,9","31,2","24,5","0,0","1,1",25
2024-08-09,"39,1","32,2","25,3","0,0","1,7",26
2024-08-10,"38,7","32,2","25,7","0,0","3,3",22
2024-08-11,"37,9","31,6","25,2","0,0","1,9",24
2024-08-12,"37,3","30,8","24,3","0,0","1,7",28
2024-08-13,"31,6","27,2","22,9","0,0","2,8",42
2024-08-14,"30,5","25,2","20,0","0,0","2,8",42
2024-08-15,"30,5","23,2","15,8","0,0","2,2",34
2024-08-16,"33,4","26,4","19,4","0,0","1,1",35
2024-08-17,"34,6","27,9","21,2","0,0","2,2",27
2024-08-18,"34,3","28,4","22,6","0,0","2,5",36
2024-08-19,"34,7","27,4","20,1","0,0","1,9",28
2024-08-20,"36,4","28,6","20,8","0,0","1,9",26
2024-08-21,"36,4","28,8","21,1","0,0","1,9",34
2024-08-22,"36,7","30,2","23,6","0,0","2,2",37
2024-08-23,"37,0","29,0","21,0","0,0","3,3",33
2024-08-24,"35,0","29,2","23,3","0,0","2,5",35
2024-08-25,"34,5","27,0","19,6","0,0","2,8",41
2024-08-26,"33,1","27,7","22,3","0,0","1,4",42
2024-08-27,"35,5","29,0","22,4","0,0","1,7",35
2024-08-28,"36,7","29,3","21,9","3,2","1,4",31
2024-08-29,"28,1","23,8","19,4","1,0","1,9",68
2024-08-30,"31,1","25,6","20,2","1,2","1,7",59
2024-08-31,"27,6","23,2","18,7","1,8","2,5",68
2024-09-01,"30,7","25,6","20,4","0,0","1,4",57
2024-09-02,"32,1","26,4","20,8","0,0","1,7",46
2024-09-03,"30,9","25,5","20,1","0,0","1,9",49
2024-09-04,"27,5","22,9","18,3","0,0","3,3",50
2024-09-05,"26,4","20,8","15,1","0,0","1,9",43
2024-09-06,"26,4","21,4","16,4","0,0","2,8",35
2024-09-07,"26,5","19,8","13,0","0,0","1,9",33
2024-09-08,"27,8","21,4","14,9","0,0","2,2",38
2024-09-09,"29,4","22,8","16,1","0,0","1,7",35
2024-09-10,"30,8","23,8","16,8","0,0","1,1",38
2024-09-11,"29,4","23,5","17,6","0,0","2,2",30
2024-09-12,"27,6","22,6","17,5","0,0","2,5",40
2024-09-13,"23,3","18,0","12,8","0,0","3,1",37
2024-09-14,"26,4","19,7","13,0","0,0","0,8",38
2024-09-15,"30,1","23,0","15,9","0,0","1,4",25
2024-09-16,"29,3","22,6","15,8","0,0","3,1",15
2024-09-17,"26,5","20,6","14,8","0,0","3,1",31
2024-09-18,"27,7","21,8","15,9","0,0","1,7",46
2024-09-19,"22,8","18,8","14,8","6,7","1,7",78
2024-09-20,"21,4","17,6","13,9","0,4","1,7",77
2024-09-21,"23,2","20,0","16,8","0,0","2,2",69
2024-09-22,"25,4","19,6","13,8","0,0","1,1",60
2024-09-23,"24,1","18,8","13,5","0,0","1,7",54
2024-09-24,"21,3","17,4","13,4","0,0","2,2",47
2024-09-25,"22,6","19,4","16,2","0,0","3,3",77
2024-09-26,"21,9","19,2","16,5","0,0","4,4",75
2024-09-27,"21,1","16,8","12,4","0,0","2,8",47
2024-09-28,"20,7","15,4","10,1","0,0","1,9",38
2024-09-29,"23,5","17,3","11,1","0,0","1,4",39
2024-09-30,"27,0","20,2","13,3","0,0","1,7",33
2024-10-01,"26,9","20,2","13,5","0,0","1,4",44
2024-10-02,N/A,N/A,N/A,"0,2","2,5",N/A
2024-10-03,N/A,N/A,N/A,"0,0","2,5",N/A
2024-10-04,N/A,N/A,N/A,"0,0","1,4",N/A
2024-10-05,"25,4","19,1","12,8","0,0","1,9",60
2024-10-06,"22,6","20,1","17,6","0,0","3,1",67
2024-10-07,"22,5","18,2","13,8","6,5","2,8",81
2024-10-08,"17,4","15,0","12,7","0,4","3,6",85
2024-10-09,"19,5","16,6","13,8","4,7","4,2",89
2024-10-10,"18,5","15,0","11,6","0,0","2,2",53
2024-10-11,"19,2","14,6","10,0","6,7","1,1",62
2024-10-12,"16,7","15,2","13,8","21,4","1,7",N/A
2024-10-13,"21,2","17,4","13,6","0,0","1,7",81
2024-10-14,"22,1","19,0","15,8","0,0","1,7",77
2024-10-15,"19,6","17,6","15,7","11,3","2,5",90
2024-10-16,"21,8","17,9","14,0","14,5","2,5",N/A
2024-10-17,"17,3","14,4","11,5","1,4","3,3",N/A
2024-10-18,"17,6","12,8","8,0","0,0","1,7",61
2024-10-19,"20,9","16,5","12,1","0,0","1,1",75
2024-10-20,"20,8","16,4","12,0","0,0","1,1",N/A
2024-10-21,"22,1","17,1","12,1","0,0","0,8",N/A
2024-10-22,"21,2","17,5","13,8","0,0","1,4",72
2024-10-23,"19,5","16,6","13,8","0,0","1,7",73
2024-10-24,"19,1","16,5","13,9","0,0","1,1",77
2024-10-25,"17,0","13,8","10,7","0,2","1,7",73
2024-10-26,"13,1","10,2","7,4","0,0","3,3",64
2024-10-27,"13,5","9,8","6,1","3,4","2,8",63
2024-10-28,"18,4","13,8","9,1","0,1","3,3",74
2024-10-29,"15,7","12,8","9,9","29,7","4,4",85
2024-10-30,"19,2","14,6","9,9","0,0","3,6",63
2024-10-31,"19,5","15,7","11,9","6,7","1,4",71
2024-11-01,"18,3","15,8","13,3","0,0","1,7",N/A
2024-11-02,"16,9","15,0","13,0","0,0","1,9",78
2024-11-03,"18,7","15,2","11,8","0,0","1,7",79
2024-11-04,"17,2","14,9","12,6","0,2","1,7",79
2024-11-05,"18,8","15,2","11,5","0,0","1,1",N/A
2024-11-06,"19,5","15,4","11,2","0,0","1,4",75
2024-11-07,"18,9","15,0","11,2","0,0","1,4",78
2024-11-08,"15,7","13,4","11,1","0,0","1,1",90
2024-11-09,"16,6","13,1","9,6","0,0","0,8",N/A
2024-11-10,"16,3","12,6","8,8","0,0","1,4",79
2024-11-11,"17,0","13,3","9,6","0,0","2,2",65
2024-11-12,"14,0","10,0","6,1","0,0","3,1",56
2024-11-13,"10,4","7,7","5,0","3,9","3,6",81
2024-11-14,"16,5","13,3","10,1","0,1","2,5",77
2024-11-15,"15,9","14,0","12,0","0,0","2,2",76
2024-11-16,"14,0","12,1","10,2","0,0","1,7",77
2024-11-17,"17,1","12,8","8,6","0,2","0,8",77
2024-11-18,"18,4","14,2","10,0","0,0","1,1",77
2024-11-19,"15,7","12,0","8,2","0,0","0,8",88
2024-11-20,"16,5","12,6","8,6","0,0","2,2",65
2024-11-21,"13,2","10,8","8,5","0,0","3,3",82
2024-11-22,"15,3","12,4","9,6","0,4","1,7",72
2024-11-23,"14,3","11,2","8,0","0,0","1,1",87
2024-11-24,"15,3","12,2","9,1","0,0","2,5",76
2024-11-25,"16,5","11,9","7,3","5,2","1,9",68
2024-11-26,"11,1","8,0","4,9","0,0","0,6",80
2024-11-27,"13,0","8,6","4,2","0,0","0,8",66
2024-11-28,"13,7","9,1","4,5","0,0","1,1",75
2024-11-29,"15,1","10,6","6,1","0,0","1,1",75
2024-11-30,"15,8","11,0","6,2","0,0","0,6",81
2024-12-01,"15,9","12,1","8,3","0,0","0,6",81
2024-12-02,"15,1","12,3","9,5","0,0","0,8",83
2024-12-03,"15,1","10,6","6,2","0,5","1,4",79
2024-12-04,"14,3","10,4","6,4","0,0","1,7",60
2024-12-05,"13,5","9,5","5,5","0,0","1,1",68
2024-12-06,"15,1","10,6","6,1","0,0","0,6",77
2024-12-07,"16,6","11,2","5,7","0,0","4,4",60
2024-12-08,"10,5","6,5","2,5","0,0","2,2",51
2024-12-09,"9,5","5,9","2,3","0,0","2,2",57
2024-12-10,"9,8","5,6","1,3","0,0","1,7",61
2024-12-11,"8,0","6,4","4,8","0,0","1,9",57
2024-12-12,"9,3","6,1","2,9","0,1","1,9",68
2024-12-13,"8,7","6,3","3,9","0,4","1,4",80
2024-12-14,"7,1","4,4","1,6","0,0","1,1",89
2024-12-15,"10,3","5,2","0,1","0,0","0,6",74
2024-12-16,"10,4","6,4","2,5","0,0","1,9",66
2024-12-17,"9,6","5,5","1,4","0,0","1,4",70
2024-12-18,"11,2","7,2","3,1","0,0","1,1",72
2024-12-19,"14,1","10,1","6,1","0,4","2,5",81
2024-12-20,"10,4","6,0","1,6","0,0","1,9",63
2024-12-21,"10,5","5,3","0,1","0,0","1,1",67
2024-12-22,"12,8","7,0","1,1","0,0","1,9",68
2024-12-23,"11,1","7,3","3,5","0,0","3,3",60
2024-12-24,"13,5","8,1","2,7","0,0","1,1",67
2024-12-25,"15,1","10,6","6,1","0,0","1,7",67
2024-12-26,"13,1","8,7","4,3","0,0","0,8",73
2024-12-27,"11,3","8,4","5,4","0,0","1,7",77
2024-12-28,"10,5","6,9","3,3","0,0","0,8",76
2024-12-29,"10,9","6,0","1,2","0,0","0,6",75
2024-12-30,"10,2","6,2","2,1","0,0","1,4",74
2024-12-31,"10,6","5,8","0,9","0,0","1,1",72
