"Año";"Periodo";"Híbridos, eléctricos y otros";"Gasolina";"Diésel"
"2017";"Septiembre";"1.926";"6.293";"14.781"
"2017";"Octubre";"2.695";"8.333";"14.449"
"2017";"Noviembre";"2.302";"10.753";"16.235"
"2017";"Diciembre";"2.393";"12.250";"16.577"
"2018";"Enero";"2.889";"15.930";"16.304"
"2018";"Febrero";"2.710";"21.476";"17.262"
"2018";"Marzo";"2.826";"27.137";"19.351"
"2018";"Abril";"3.540";"23.128";"18.691"
"2018";"Mayo";"4.121";"24.910";"21.370"
"2018";"Junio";"6.030";"25.872";"23.864"
"2018";"Julio";"5.289";"17.805";"20.059"
"2018";"Agosto";"3.823";"13.524";"16.172"
"2018";"Septiembre";"2.730";"6.485";"9.697"
"2018";"Octubre";"3.881";"9.095";"11.420"
"2018";"Noviembre";"4.086";"10.860";"9.943"
"2018";"Diciembre";"5.085";"15.241";"13.524"
"2019";"Enero";"5.040";"17.925";"11.285"
"2019";"Febrero";"5.097";"20.854";"13.224"
"2019";"Marzo";"5.764";"27.278";"14.637"
"2019";"Abril";"5.728";"28.992";"16.745"
"2019";"Mayo";"7.286";"25.894";"17.616"
"2019";"Junio";"6.668";"30.929";"16.963"
"2019";"Julio";"6.199";"19.507";"13.807"
"2019";"Agosto";"4.114";"8.432";"7.734"
"2019";"Septiembre";"5.284";"11.376";"9.638"
"2019";"Octubre";"6.088";"11.357";"11.956"
"2019";"Noviembre";"7.195";"10.791";"11.148"
"2019";"Diciembre";"6.590";"19.495";"14.720"
"2020";"Enero";"7.045";"15.829";"10.302"
"2020";"Febrero";"7.045";"19.819";"12.461"
"2020";"Marzo";"3.069";"7.860";"4.847"
"2020";"Abril";"273";"1.500";"695"
"2020";"Mayo";"2.946";"5.627";"5.108"
"2020";"Junio";"6.803";"12.693";"12.360"
"2020";"Julio";"10.296";"18.964";"14.558"
"2020";"Agosto";"5.332";"8.220";"7.326"
"2020";"Septiembre";"6.557";"7.420";"9.181"
"2020";"Octubre";"7.543";"7.524";"9.228"
"2020";"Noviembre";"9.156";"8.108";"9.814"
"2020";"Diciembre";"15.724";"10.698";"13.584"
"2021";"Enero";"4.482";"4.876";"4.700"
"2021";"Febrero";"7.581";"10.815";"6.661"
"2021";"Marzo";"11.195";"16.732";"10.057"
"2021";"Mayo";"14.073";"22.533";"11.432"
"2021";"Septiembre";"10.538";"6.937";"5.716"
"2021";"Diciembre";"14.861";"9.195";"10.339"
"2022";"Enero";"7.321";"4.157";"3.831"
"2022";"Febrero";"9.566";"7.819";"6.314"
"2022";"Marzo";"9.786";"8.511";"6.963"
"2022";"Abril";"12.126";"11.904";"7.242"
"2022";"Mayo";"14.483";"16.129";"8.337"
"2022";"Junio";"16.064";"15.470";"9.041"
"2022";"Agosto";"8.510";"7.319";"4.722"
"2022";"Septiembre";"12.330";"8.453";"7.224"
"2023";"Febrero";"14.211";"11.919";"6.179"
"2023";"Marzo";"19.529";"20.124";"8.667"
"2023";"Abril";"14.662";"14.464";"7.032"
"2023";"Mayo";"17.687";"19.060";"7.369"
"2023";"Junio";"21.246";"19.662";"8.316"
"2023";"Julio";"17.073";"12.208";"6.084"
"2023";"Agosto";"10.917";"4.456";"3.922"
"2023";"Septiembre";"14.154";"7.392";"4.731"
"2023";"Octubre";"17.070";"7.508";"5.170"
"2023";"Noviembre";"17.430";"8.739";"4.831"
"2023";"Diciembre";"19.847";"10.393";"4.880"
"2024";"Enero";"16.107";"8.681";"4.375"
"2024";"Febrero";"18.294";"15.188";"5.208"
"2024";"Marzo";"21.746";"18.905";"5.121"
"2024";"Abril";"20.317";"19.446";"5.989"
"2024";"Mayo";"22.226";"19.700";"6.839"
"2024";"Junio";"24.739";"19.312";"8.640"
"2024";"Julio";"18.555";"10.862";"5.428"
"2024";"Agosto";"11.101";"4.334";"2.918"
"2024";"Septiembre";"18.545";"6.833";"4.030"
"2024";"Octubre";"19.856";"7.471";"4.782"
"2024";"Noviembre";"21.521";"7.894";"3.921"
;;;;
;;;;
"Métrica":"Híbridos, eléctricos y otros"
"Fuente":"Anfac / Faconauto / Ganvam"
"Clasificación":""
"Unidad":"Número de vehículos"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;
;;;;
"Métrica":"Gasolina"
"Fuente":"Anfac / Faconauto / Ganvam"
"Clasificación":""
"Unidad":"Número de vehículos"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;
;;;;
"Métrica":"Diésel"
"Fuente":"Anfac / Faconauto / Ganvam"
"Clasificación":""
"Unidad":"Número de vehículos"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;;
;;;;
"Url":"https://www.epdata.es/vehiculos-diesel-tuvieron-matriculaciones-gasolina-variaron-mientras-hibridos-electricos/09ab2c30-d71e-4608-98b2-e06c6e2673ed/madrid/304"
"Titulo":"En Comunidad de Madrid los vehículos diésel tuvieron un -18,84% de matriculaciones en noviembre de 2024 por un 23,47% de híbridos y eléctricos"
"Subtitulo":""
